equipamentoPK,equipamentoNome,equipamentoDescricao,equipamentoCor,equipamentoTipo,equipamentoMoeda,equipamentoPreco
22,,PAUTA CONNECT BB8701A W/ MOBO ITAUTEC SM3322 AMD PHENOM X2 4GB 4HDS 320GB,PRETO,EQUIP INFORMATICA,BRL,2554.85
23,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,AZUL,MOVEIS,BRL,
24,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,,,BRL,577.16
25,CADEIRA DE ESCRITORIO,,AZUL,MOVEIS,BRL,577.17
26,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,AZUL,MOVEIS,BRL,577.18
27,,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,,,,577.19
28,CADEIRA DE ESCRITORIO,,AZUL,MOVEIS,BRL,577.20
29,,CADEIRA UNIVERSITARIA REVESTIDA EM TECIDO NA COR AZUL COM BRACO,AZUL,MOVEIS,BRL,214.00
30,CADEIRA DE ESCRITORIO,CADEIRA UNIVERSITARIA REVESTIDA EM TECIDO NA COR AZUL COM BRACO,AZUL,MOVEIS,BRL,214.01
31,CADEIRA DE ESCRITORIO,CADEIRA UNIVERSITARIA REVESTIDA EM TECIDO NA COR AZUL COM BRACO,,MOVEIS,BRL,214.02
32,ESTABILIZADOR,ESTABILIZADOR RAGTECH 2480  1500 VA,PRETO,EQUIP INFORMATICA,BRL,909.35
33,ESTABILIZADOR,ESTABILIZADOR RAGTECH 3480  1500 VA,PRETO,EQUIP INFORMATICA,BRL,859.41
34,ESTABILIZADOR,ESTABILIZADOR RAGTECH 3480  1500 VA,PRETO,,BRL,
35,,CONDICIONADOR DE AR GREE GWCO9MA-DINNA3C/I 9000BTUS,,MOVEIS,,1599.00
36,QUADRO-BRANCO,QUADRO-BRANCO REVESTIDO EM FORMICA COM MOLDURA DE METAL 120X90CM,BRANCO,MOVEIS,BRL,134.99
37,SUPORTE GABINETE,SUPORTE PARA GABINETE E ESTABILIZADOR REVESTIDO EM FORMICA,BRANCO,MOVEIS,BRL,139.90
38,COMPUTADOR,HP PAVILION 20 ALL-IN-ONE PC INTEL CORE I3,PRETO,EQUIP INFORMATICA,USD,350.00
39,MONITOR,,PRETO,,BRL,650.00
40,MONITOR,MONITOR HP L190HB 19 polegadas,PRETO,EQUIP INFORMATICA,BRL,650.00
41,MONITOR,MONITOR HP L190HB 19 polegadas,,EQUIP INFORMATICA,BRL,650.00
42,COMPUTADOR,HP PAVILION 20 ALL-IN-ONE PC INTEL CORE I3,PRETO,EQUIP INFORMATICA,USD,350.00
43,,HP PAVILION 20 ALL-IN-ONE PC INTEL CORE I3,PRETO,,BRL,
44,MONITOR,MONITOR GAMER FULL HD LED SAMSUNG 27 polegadas,,EQUIP INFORMATICA,BRL,899.00
45,COMPUTADOR,DELL INSPIRON INS-3470-M40 8A GERACÃO INTEL CORE I7,PRETO,EQUIP INFORMATICA,USD,500.00
46,ROTEADOR,ROTEADOR RE057 MULTILASER,BRANCO,EQUIP INFORMATICA,BRL,90.80
47,ROTEADOR,,,EQUIP INFORMATICA,BRL,110.00
48,,CAFETEIRA BRITANIA 12 XICARAS,PRATA,,BRL,144.36
49,MICRO-ONDAS,FORNO DE MICRO-ONDAS ELECTROLUX MTO30 - 20L - BRANCO,BRANCO,ELETRODOMESTICO,,494.10
50,GELADEIRA,REFRIGERADOR ELECTROLUX DUPLEX DC35A 260L - BRANCO,BRANCO,ELETRODOMESTICO,BRL,1949.00
51,MESA,,,MOVEIS,BRL,549.98
52,,MESA REDONDA REVESTIDA EM FORMICA,BRANCO,MOVEIS,BRL,549.98
53,CADEIRA,CADEIRA PLASTICA,BRANCO,MOVEIS,,
54,CADEIRA,CADEIRA PLASTICA,,MOVEIS,BRL,30.0
55,CADEIRA,CADEIRA PLASTICA,BRANCO,MOVEIS,BRL,30.0
56,FURADEIRA,PARAFUSADEIRA E FURADEIRA BOSCH GSR 7-14 E 400W 220V COM CABO DE 4M,AZUL,,BRL,249.99
57,SERRA,SERRA CIRCULAR WAP ESC 1400 FERRAMENTA ELETRICA MANUAL 1400W,AMARELO,FERRAMENTAS ELETRICAS,,539.10
58,,SERRA TICO-TICO BOSCH GST 650 450W 127V,AZUL,FERRAMENTAS ELETRICAS,BRL,313.20
59,POLTRONA,POLTRONA VILLARE SOGNO RECLINAVEL REVESTIDA EM TECIDO NA COR VERMELHA,VERMELHO,MOVEIS,BRL,845.50
60,SMARTPHONE,XIAOMI MI A2 LITE 3GB RAM 32GB ARMAZENAMENTO ANDROID 9,PRETO,SMARTPHONES,USD,235.40
